text,summary
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #1 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #1)
"The distance between two points (x₁, y₁) and (x₂, y₂) is given by the formula √((x₂ - x₁)² + (y₂ - y₁)²). This is concept #1 in the series.",Distance formula: √((x₂ - x₁)² + (y₂ - y₁)²) (Concept #1)
"The equation of a straight line in slope-intercept form is y = mx + c, where m is the slope and c is the y-intercept. This is concept #1 in the series.",Line equation: y = mx + c (Concept #1)
"A circle with center at (a, b) and radius r has the equation (x - a)² + (y - b)² = r². This is concept #1 in the series.",Circle equation: (x - a)² + (y - b)² = r² (Concept #1)
"The midpoint of a line segment connecting (x₁, y₁) and (x₂, y₂) is given by ((x₁ + x₂)/2, (y₁ + y₂)/2). This is concept #1 in the series.","Midpoint formula: ((x₁ + x₂)/2, (y₁ + y₂)/2) (Concept #1)"
The general form of the equation of a line is Ax + By + C = 0. This is concept #1 in the series.,General line form: Ax + By + C = 0 (Concept #1)
"The slope of a line passing through two points (x₁, y₁) and (x₂, y₂) is (y₂ - y₁) / (x₂ - x₁). This is concept #1 in the series.",Slope formula: (y₂ - y₁) / (x₂ - x₁) (Concept #1)
The equation of a parabola opening upwards with vertex at origin is y = ax². This is concept #1 in the series.,Parabola (upwards): y = ax² (Concept #1)
An ellipse with center at origin has equation (x²/a²) + (y²/b²) = 1. This is concept #1 in the series.,Ellipse equation: (x²/a²) + (y²/b²) = 1 (Concept #1)
A hyperbola with center at origin and transverse axis along x-axis has the equation (x²/a²) - (y²/b²) = 1. This is concept #1 in the series.,Hyperbola: (x²/a²) - (y²/b²) = 1 (Concept #1)
"Analytic geometry, also called coordinate geometry, is the study of geometry using a coordinate system. This is concept #2 in the series.",Analytic geometry uses coordinates to study geometric figures. (Concept #2)
